"busco_id"	"Balaena_mysticetus"	"Balaenoptera_acutorostrata"	"Balaenoptera_borealis"	"Balaenoptera_brydei"	"Balaenoptera_omurai"	"Balaenoptera_physalus"	"Cephalorhynchus_hectori"	"Delphinapterus_leucas"	"Delphinus_capensis"	"Delphinus_delphis"	"Eschrichtius_robustus"	"Eubalaena_australis"	"Eubalaena_glacialis"	"Feresa_attenuata"	"Globicephala_macrorhynchus"	"Globicephala_melas"	"Grampus_griseus"	"Kogia_breviceps"	"Kogia_sima"	"Lagenorhynchus_acutus"	"Lagenorhynchus_albirostris"	"Lagenorhynchus_obliquidens"	"Lipotes_vexillifer"	"Megaptera_novaeangliae"	"Mesoplodon_bidens"	"Mesoplodon_densirostris"	"Monodon_monoceros"	"Neophocaena_asiaeorientalis"	"Neophocaena_phocaenoides"	"Orcinus_orca"	"Phocoena_phocoena"	"Phocoenoides_dalli"	"Physeter_catodon"	"Pseudorca_crassidens"	"Sousa_chinensis"	"Stenella_attenuata"	"Stenella_coeruleoalba"	"Steno_bredanensis"	"Tursiops_aduncus"	"Tursiops_truncatus"	"Ziphius_cavirostris"
"EOG0902028W"	NA	"XM_007189903.1"	NA	NA	NA	NA	NA	"XM_022580536.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027121888.1"	"XM_007460905.1"	NA	NA	NA	"XM_029238673.1"	"XM_024765847.1"	NA	"XM_004278576.1"	NA	NA	"XM_024116409.2"	NA	NA	NA	NA	NA	NA	"XM_019933447.1"	NA
"EOG0902028X"	NA	"XM_007164235.2"	NA	NA	NA	NA	NA	"XM_022574461.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027116727.1"	"XM_007464509.1"	NA	NA	NA	"XM_029209830.1"	"XM_024752830.1"	NA	"XM_004281797.1"	NA	NA	"XM_028497284.1"	NA	NA	NA	NA	NA	NA	"XM_019936912.1"	NA
"EOG0902028Y"	NA	"XM_007180874.1"	NA	NA	NA	NA	NA	"XM_022576286.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027120321.1"	"XM_007471886.1"	NA	NA	NA	"XM_029237234.1"	"XM_024736251.1"	NA	"XM_004262336.1"	NA	NA	"XM_024130960.2"	NA	NA	NA	NA	NA	NA	"XM_019919089.1"	NA
"EOG0902028Z"	NA	"XM_007182128.1"	NA	NA	NA	NA	NA	"XM_022583904.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027091100.1"	"XM_007459376.1"	NA	NA	NA	"XM_029228184.1"	"XM_024764835.1"	NA	"XM_004285807.1"	NA	NA	"XM_007119457.2"	NA	NA	NA	NA	NA	NA	"XM_019919620.1"	NA
"EOG09020292"	NA	"XM_007186825.2"	NA	NA	NA	NA	NA	"XM_022574403.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027116233.1"	"XM_007466456.1"	NA	NA	NA	"XM_029210180.1"	"XM_024755374.1"	NA	"XM_004274578.2"	NA	NA	"XM_007129779.3"	NA	NA	NA	NA	NA	NA	"XM_019936536.1"	NA
"EOG09020293"	NA	"XM_007194538.1"	NA	NA	NA	NA	NA	"XM_022578512.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027104614.1"	"XM_007471797.1"	NA	NA	NA	"XM_029201759.1"	"XM_024762541.1"	NA	"XM_004269126.1"	NA	NA	"XM_024126191.1"	NA	NA	NA	NA	NA	NA	"XM_019949280.1"	NA
"EOG0902029A"	NA	"XM_007172995.2"	NA	NA	NA	NA	NA	"XM_022561599.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027082341.1"	"XM_007464661.1"	NA	NA	NA	"XM_029207427.1"	"XM_024754212.1"	NA	"XM_004273424.2"	NA	NA	"XM_007128254.2"	NA	NA	NA	NA	NA	NA	"XM_019941910.1"	NA
"EOG0902029C"	NA	"XM_028161868.1"	NA	NA	NA	NA	NA	"XM_022590015.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027081711.1"	"XM_007462393.1"	NA	NA	NA	"XM_029217168.1"	"XM_024752375.1"	NA	"XM_004280400.1"	NA	NA	"XM_007115290.3"	NA	NA	NA	NA	NA	NA	"XM_019924642.1"	NA
"EOG0902029H"	NA	"XM_007189981.2"	NA	NA	NA	NA	NA	"XM_022588606.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027126710.1"	"XM_007466276.1"	NA	NA	NA	"XM_029219681.1"	"XM_024744612.1"	NA	"XM_012532638.1"	NA	NA	"XM_007119958.3"	NA	NA	NA	NA	NA	NA	"XM_019921835.1"	NA
"EOG0902029I"	NA	"XM_007195845.1"	NA	NA	NA	NA	NA	"XM_022592875.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027078780.1"	"XM_007465432.1"	NA	NA	NA	"XM_029220495.1"	"XM_024743247.1"	NA	"XM_004285306.1"	NA	NA	"XM_028499734.1"	NA	NA	NA	NA	NA	NA	"XM_019950710.1"	NA
"EOG0902029J"	NA	"XM_007191600.2"	NA	NA	NA	NA	NA	"XM_022551262.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027088785.1"	"XM_007456557.1"	NA	NA	NA	"XM_029219652.1"	"XM_024758938.1"	NA	"XM_004275925.2"	NA	NA	"XM_024120587.2"	NA	NA	NA	NA	NA	NA	"XM_019920784.1"	NA
"EOG0902029M"	NA	"XM_007187678.2"	NA	NA	NA	NA	NA	"XM_022593159.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027124080.1"	"XM_007463689.1"	NA	NA	NA	"XM_029232888.1"	"XM_024746981.1"	NA	"XM_004283001.1"	NA	NA	"XM_028487255.1"	NA	NA	NA	NA	NA	NA	"XM_019939284.1"	NA
"EOG0902029N"	NA	"XM_007167963.1"	NA	NA	NA	NA	NA	"XM_022590331.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027091863.1"	"XM_007456622.1"	NA	NA	NA	"XM_029224007.1"	"XM_024757443.1"	NA	"XM_004270091.1"	NA	NA	"XM_007104881.3"	NA	NA	NA	NA	NA	NA	"XM_019929346.1"	NA
"EOG0902029S"	NA	"XM_007189038.2"	NA	NA	NA	NA	NA	"XM_022596652.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027107618.1"	"XM_007454029.1"	NA	NA	NA	"XM_029205389.1"	"XM_024761544.1"	NA	"XM_004279478.2"	NA	NA	"XM_028490614.1"	NA	NA	NA	NA	NA	NA	"XM_019943323.1"	NA
"EOG0902029W"	NA	"XM_007164186.2"	NA	NA	NA	NA	NA	"XM_022574547.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027116601.1"	"XM_007471440.1"	NA	NA	NA	"XM_029210138.1"	"XM_024755438.1"	NA	"XM_004281762.2"	NA	NA	"XM_024126017.2"	NA	NA	NA	NA	NA	NA	"XM_019936809.1"	NA
"EOG0902029Y"	NA	"XM_028163216.1"	NA	NA	NA	NA	NA	"XM_022573197.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027098698.1"	"XM_007446184.1"	NA	NA	NA	"XM_029244260.1"	"XM_024738021.1"	NA	"XM_004283928.2"	NA	NA	"XM_007129885.3"	NA	NA	NA	NA	NA	NA	"XM_019931654.1"	NA
"EOG090202A0"	NA	"XM_007175301.2"	NA	NA	NA	NA	NA	"XM_022560978.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027131086.1"	"XM_007455017.1"	NA	NA	NA	"XM_029211387.1"	"XM_024752638.1"	NA	"XM_012532014.1"	NA	NA	"XM_007104505.3"	NA	NA	NA	NA	NA	NA	"XM_019944189.1"	NA
"EOG090202A3"	NA	"XM_007177297.1"	NA	NA	NA	NA	NA	"XM_022554404.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027123865.1"	"XM_007468976.1"	NA	NA	NA	"XM_029233303.1"	"XM_024760934.1"	NA	"XM_012535322.1"	NA	NA	"XM_028490178.1"	NA	NA	NA	NA	NA	NA	"XM_019940579.1"	NA
"EOG090202A7"	NA	"XM_028168951.1"	NA	NA	NA	NA	NA	"XM_022594219.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027118080.1"	"XM_007454525.1"	NA	NA	NA	"XM_029219461.1"	"XM_024753735.1"	NA	"XM_004270414.1"	NA	NA	"XM_007120897.3"	NA	NA	NA	NA	NA	NA	"XM_019927598.1"	NA
"EOG090202AB"	NA	"XM_007183459.1"	NA	NA	NA	NA	NA	"XM_022573838.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027113738.1"	"XM_007455490.1"	NA	NA	NA	"XM_029231912.1"	"XM_024747808.1"	NA	"XM_004268078.2"	NA	NA	"XM_028496656.1"	NA	NA	NA	NA	NA	NA	"XM_019942489.1"	NA
"EOG090202AD"	NA	"XM_028164772.1"	NA	NA	NA	NA	NA	"XM_022584150.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027102276.1"	"XM_007466099.1"	NA	NA	NA	"XM_029233230.1"	"XM_024755000.1"	NA	"XM_004269945.2"	NA	NA	"XM_028489924.1"	NA	NA	NA	NA	NA	NA	"XM_019926060.1"	NA
"EOG090202AJ"	NA	"XM_007185601.2"	NA	NA	NA	NA	NA	"XM_022589749.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027080523.1"	"XM_007454417.1"	NA	NA	NA	"XM_029210779.1"	"XM_024760930.1"	NA	"XM_012535156.1"	NA	NA	"XM_024130262.2"	NA	NA	NA	NA	NA	NA	"XM_019938689.1"	NA
"EOG090202AQ"	NA	"XM_007192426.1"	NA	NA	NA	NA	NA	"XM_022572588.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027121355.1"	"XM_007447642.1"	NA	NA	NA	"XM_029243784.1"	"XM_024747004.1"	NA	"XM_004268004.2"	NA	NA	"XM_007105914.3"	NA	NA	NA	NA	NA	NA	"XM_004330307.2"	NA
"EOG090202AS"	NA	"XM_028163786.1"	NA	NA	NA	NA	NA	"XM_022595108.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027084295.1"	"XM_007465558.1"	NA	NA	NA	"XM_029218049.1"	"XM_024753430.1"	NA	"XM_004272002.1"	NA	NA	"XM_028497489.1"	NA	NA	NA	NA	NA	NA	"XM_019946296.1"	NA
"EOG090202AU"	NA	"XM_007191747.2"	NA	NA	NA	NA	NA	"XM_022587093.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027102542.1"	"XM_007463525.1"	NA	NA	NA	"XM_029233137.1"	"XM_024767097.1"	NA	"XM_012531520.1"	NA	NA	"XM_028490060.1"	NA	NA	NA	NA	NA	NA	"XM_019928004.1"	NA
"EOG090202AV"	NA	"XM_007189116.1"	NA	NA	NA	NA	NA	"XM_022596833.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027107799.1"	"XM_007453972.1"	NA	NA	NA	"XM_029205024.1"	"XM_024737428.1"	NA	"XM_004279530.2"	NA	NA	"XM_028486263.1"	NA	NA	NA	NA	NA	NA	"XM_019944828.1"	NA
"EOG090202AX"	NA	"XM_007198536.1"	NA	NA	NA	NA	NA	"XM_022559854.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027096555.1"	"XM_007455063.1"	NA	NA	NA	"XM_029240476.1"	"XM_024756969.1"	NA	"XM_004265414.2"	NA	NA	"XM_007129261.3"	NA	NA	NA	NA	NA	NA	"XM_019928543.1"	NA
"EOG090202AY"	NA	"XM_007176848.2"	NA	NA	NA	NA	NA	"XM_022551678.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027089027.1"	"XM_007464933.1"	NA	NA	NA	"XM_029203024.1"	"XM_024753808.1"	NA	"XM_004275068.2"	NA	NA	"XM_007116469.3"	NA	NA	NA	NA	NA	NA	"XM_019934932.1"	NA
"EOG090202AZ"	NA	"XM_007174892.2"	NA	NA	NA	NA	NA	"XM_022555726.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027115305.1"	"XM_007460219.1"	NA	NA	NA	"XM_029208778.1"	"XM_024756961.1"	NA	"XM_004279163.1"	NA	NA	"XM_024118692.2"	NA	NA	NA	NA	NA	NA	"XM_019948110.1"	NA
"EOG090202B0"	NA	"XM_028165172.1"	NA	NA	NA	NA	NA	"XM_022580748.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027101887.1"	"XM_007466568.1"	NA	NA	NA	"XM_029233840.1"	"XM_024737964.1"	NA	"XM_004272178.1"	NA	NA	"XM_024127033.2"	NA	NA	NA	NA	NA	NA	"XM_019921500.1"	NA
"EOG090202B3"	NA	"XM_007177214.1"	NA	NA	NA	NA	NA	"XM_022582050.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027102052.1"	"XM_007450766.1"	NA	NA	NA	"XM_029233739.1"	"XM_024757802.1"	NA	"XM_004265486.2"	NA	NA	"XM_007107223.3"	NA	NA	NA	NA	NA	NA	"XM_019924546.1"	NA
"EOG090202B5"	NA	"XM_007192958.2"	NA	NA	NA	NA	NA	"XM_022570428.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027111435.1"	"XM_007471700.1"	NA	NA	NA	"XM_029238066.1"	"XM_024748345.1"	NA	"XM_004262104.1"	NA	NA	"XM_007109893.3"	NA	NA	NA	NA	NA	NA	"XM_019923093.1"	NA
"EOG090202B7"	NA	"XM_007198052.1"	NA	NA	NA	NA	NA	"XM_022555918.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027119692.1"	"XM_007457321.1"	NA	NA	NA	"XM_029237972.1"	"XM_024733718.1"	NA	"XM_004280901.1"	NA	NA	"XM_024124810.2"	NA	NA	NA	NA	NA	NA	"XM_019935720.1"	NA
"EOG090202B9"	NA	"XM_007178948.1"	NA	NA	NA	NA	NA	"XM_022554351.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027123785.1"	"XM_007467032.1"	NA	NA	NA	"XM_029234118.1"	"XM_024752838.1"	NA	"XM_004263411.2"	NA	NA	"XM_024115960.1"	NA	NA	NA	NA	NA	NA	"XM_019940506.1"	NA
"EOG090202BA"	NA	"XM_007173737.2"	NA	NA	NA	NA	NA	"XM_022593813.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027083387.1"	"XM_007448101.1"	NA	NA	NA	"XM_029209473.1"	"XM_024762006.1"	NA	"XM_004279794.2"	NA	NA	"XM_007101439.3"	NA	NA	NA	NA	NA	NA	"XM_019946578.1"	NA
"EOG090202BD"	NA	"XM_007192310.2"	NA	NA	NA	NA	NA	"XM_022572757.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027121175.1"	"XM_007469004.1"	NA	NA	NA	"XM_029243647.1"	"XM_024746289.1"	NA	"XM_004267948.2"	NA	NA	"XM_024124040.2"	NA	NA	NA	NA	NA	NA	"XM_019947537.1"	NA
"EOG090202BF"	NA	"XM_007172216.1"	NA	NA	NA	NA	NA	"XM_022588894.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027096528.1"	"XM_007461407.1"	NA	NA	NA	"XM_029217797.1"	"XM_024752361.1"	NA	"XM_004282076.1"	NA	NA	"XM_007112985.3"	NA	NA	NA	NA	NA	NA	"XM_004312050.2"	NA
"EOG090202BG"	NA	"XM_007187963.2"	NA	NA	NA	NA	NA	"XM_022567717.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027120864.1"	"XM_007445820.1"	NA	NA	NA	"XM_029224795.1"	"XM_024763243.1"	NA	"XM_012533118.1"	NA	NA	"XM_028486061.1"	NA	NA	NA	NA	NA	NA	NA	NA
"EOG090202BH"	NA	"XM_007178457.2"	NA	NA	NA	NA	NA	"XM_022559495.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027094878.1"	"XM_007457968.1"	NA	NA	NA	"XM_029230439.1"	"XM_024748294.1"	NA	"XM_004284632.1"	NA	NA	"XM_028484503.1"	NA	NA	NA	NA	NA	NA	NA	NA
"EOG090202BJ"	NA	"XM_007167770.2"	NA	NA	NA	NA	NA	"XM_022590746.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027130060.1"	"XM_007454571.1"	NA	NA	NA	"XM_029201092.1"	"XM_024765569.1"	NA	"XM_004280795.2"	NA	NA	"XM_007121036.3"	NA	NA	NA	NA	NA	NA	"XM_019936158.1"	NA
"EOG090202BL"	NA	"XM_007191905.1"	NA	NA	NA	NA	NA	"XM_022594246.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027118268.1"	"XM_007461794.1"	NA	NA	NA	"XM_029221865.1"	"XM_024753734.1"	NA	"XM_004270406.1"	NA	NA	"XM_007114752.3"	NA	NA	NA	NA	NA	NA	"XM_019927537.1"	NA
"EOG090202BM"	NA	"XM_007181675.2"	NA	NA	NA	NA	NA	"XM_022594493.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027117825.1"	"XM_007453555.1"	NA	NA	NA	"XM_029222128.1"	"XM_024759769.1"	NA	"XM_004270315.2"	NA	NA	"XM_007100084.3"	NA	NA	NA	NA	NA	NA	"XM_019943391.1"	NA
"EOG090202BQ"	NA	"XM_007188087.2"	NA	NA	NA	NA	NA	"XM_022582684.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027091756.1"	"XM_007446945.1"	NA	NA	NA	"XM_029214414.1"	"XM_024769046.1"	NA	"XM_004278211.2"	NA	NA	"XM_007105335.3"	NA	NA	NA	NA	NA	NA	"XM_019934310.1"	NA
"EOG090202BR"	NA	"XM_007188256.2"	NA	NA	NA	NA	NA	"XM_022581379.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027125321.1"	"XM_007456440.1"	NA	NA	NA	"XM_029216137.1"	"XM_024767201.1"	NA	"XM_012534720.1"	NA	NA	"XM_028492807.1"	NA	NA	NA	NA	NA	NA	"XM_019951079.1"	NA
"EOG090202BT"	NA	"XM_007177854.1"	NA	NA	NA	NA	NA	"XM_022570930.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027123008.1"	"XM_007466515.1"	NA	NA	NA	"XM_029226253.1"	"XM_024759942.1"	NA	"XM_004281740.1"	NA	NA	"XM_028481403.1"	NA	NA	NA	NA	NA	NA	"XM_019921325.1"	NA
"EOG090202BW"	NA	"XM_007177703.1"	NA	NA	NA	NA	NA	"XM_022557742.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027094815.1"	"XM_007449861.1"	NA	NA	NA	"XM_029212544.1"	"XM_024742842.1"	NA	"XM_012537798.1"	NA	NA	"XM_028498114.1"	NA	NA	NA	NA	NA	NA	"XM_019933897.1"	NA
"EOG090202BX"	NA	"XM_007175759.2"	NA	NA	NA	NA	NA	"XM_022589136.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027081206.1"	"XM_007456757.1"	NA	NA	NA	"XM_029211404.1"	"XM_024760694.1"	NA	"XM_012535100.1"	NA	NA	"XM_007104525.3"	NA	NA	NA	NA	NA	NA	"XM_019944293.1"	NA
"EOG090202BY"	NA	"XM_007171588.1"	NA	NA	NA	NA	NA	"XM_022568778.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027108046.1"	"XM_007465861.1"	NA	NA	NA	"XM_029214343.1"	"XM_024752055.1"	NA	"XM_012536353.1"	NA	NA	"XM_007115225.2"	NA	NA	NA	NA	NA	NA	"XM_019922718.1"	NA
"EOG090202BZ"	NA	"XM_007193841.1"	NA	NA	NA	NA	NA	"XM_022582071.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027127453.1"	"XM_007451907.1"	NA	NA	NA	"XM_029244414.1"	"XM_024766363.1"	NA	"XM_004267506.2"	NA	NA	"XM_024122087.2"	NA	NA	NA	NA	NA	NA	"XM_019949987.1"	NA
"EOG090202C2"	NA	"XM_007185948.2"	NA	NA	NA	NA	NA	"XM_022589175.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027081174.1"	"XM_007456780.1"	NA	NA	NA	"XM_029210992.1"	"XM_024760528.1"	NA	"XM_012535050.1"	NA	NA	"XM_007125952.3"	NA	NA	NA	NA	NA	NA	"XM_019944440.1"	NA
"EOG090202C5"	NA	"XM_007183288.1"	NA	NA	NA	NA	NA	"XM_022570051.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027128169.1"	"XM_007458847.1"	NA	NA	NA	"XM_029225330.1"	"XM_024732835.1"	NA	"XM_004267317.1"	NA	NA	"XM_007106553.3"	NA	NA	NA	NA	NA	NA	"XM_019922947.1"	NA
"EOG090202C6"	NA	"XM_007168640.1"	NA	NA	NA	NA	NA	"XM_022556769.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027128150.1"	"XM_007464012.1"	NA	NA	NA	"XM_029223210.1"	"XM_024742559.1"	NA	"XM_004275028.2"	NA	NA	"XM_024127056.2"	NA	NA	NA	NA	NA	NA	"XM_019925373.1"	NA
"EOG090202C9"	NA	"XM_007183159.1"	NA	NA	NA	NA	NA	"XM_022570169.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027130263.1"	"XM_007454976.1"	NA	NA	NA	"XM_029225946.1"	"XM_024735951.1"	NA	"XM_004266278.2"	NA	NA	"XM_028478357.1"	NA	NA	NA	NA	NA	NA	"XM_004313630.2"	NA
"EOG090202CC"	NA	"XM_007178131.2"	NA	NA	"JN642609.1"	NA	NA	"XM_022578902.1"	"JN642611.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"JN642613.1"	NA	NA	"XM_027105061.1"	"XM_007449712.1"	NA	NA	NA	"XM_029203170.1"	"XM_024762134.1"	"JN642615.1"	"AB492857.1"	NA	NA	"XM_007112650.2"	NA	"JN642617.1"	NA	"JN642618.1"	NA	NA	"NM_001281808.1"	NA
"EOG090202CE"	NA	"XM_007195964.1"	NA	NA	NA	NA	NA	"XM_022552705.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027090368.1"	"XM_007466262.1"	NA	NA	NA	"XM_029223456.1"	"XM_024731835.1"	NA	"XM_004264812.1"	NA	NA	"XM_028486765.1"	NA	NA	NA	NA	NA	NA	"XM_019929440.1"	NA
"EOG090202CN"	NA	"XM_028165748.1"	NA	NA	NA	NA	NA	"XM_022572248.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027108197.1"	"XM_007452351.1"	NA	NA	NA	"XM_029206705.1"	"XM_024737070.1"	NA	"XM_004274468.1"	NA	NA	"XM_028491362.1"	NA	NA	NA	NA	NA	NA	"XM_019934480.1"	NA
"EOG090202CO"	NA	"XM_007190288.2"	NA	NA	NA	NA	NA	"XM_022552587.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027087240.1"	"XM_007449073.1"	NA	NA	NA	"XM_029212648.1"	"XM_024757660.1"	NA	"XM_004271751.1"	NA	NA	"XM_024127704.1"	NA	NA	NA	NA	NA	NA	"XM_019945471.1"	NA
"EOG090202CQ"	NA	"XM_007165950.2"	NA	NA	NA	NA	NA	"XM_022579642.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027123166.1"	"XM_007458896.1"	NA	NA	NA	"XM_029238683.1"	"XM_024761412.1"	NA	"XM_004274686.1"	NA	NA	"XM_007128507.3"	NA	NA	NA	NA	NA	NA	"XM_019947275.1"	NA
"EOG090202CR"	NA	"XM_007196861.1"	NA	NA	NA	NA	NA	"XM_022576950.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027116104.1"	"XM_007445609.1"	NA	NA	NA	"XM_029210349.1"	"XM_024760446.1"	NA	"XM_004276830.2"	NA	NA	"XM_007122040.1"	NA	NA	NA	NA	NA	NA	"XM_019920902.1"	NA
"EOG090202CS"	NA	"XM_007194980.1"	NA	NA	NA	NA	NA	"XM_022559914.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027107082.1"	"XM_007448748.1"	NA	NA	NA	"XM_029206143.1"	"XM_024737004.1"	NA	"XM_004271576.1"	NA	NA	"XM_007119322.2"	NA	NA	NA	NA	NA	NA	"XM_004316065.2"	NA
"EOG090202CT"	NA	"XM_007193965.2"	NA	NA	NA	NA	NA	"XM_022566158.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027099310.1"	"XM_007459547.1"	NA	NA	NA	"XM_029243513.1"	"XM_024738625.1"	NA	"XM_004286584.1"	NA	NA	"XM_028478480.1"	NA	NA	NA	NA	NA	NA	"XM_019927219.1"	NA
"EOG090202CU"	NA	"XM_007194575.1"	NA	NA	NA	NA	NA	"XM_022578577.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027104664.1"	"XM_007471774.1"	NA	NA	NA	"XM_029202817.1"	"XM_024762581.1"	NA	"XM_004269140.2"	NA	NA	"XM_007102392.3"	NA	NA	NA	NA	NA	NA	"XM_019949145.1"	NA
"EOG090202CW"	NA	"XM_007182633.2"	NA	NA	NA	NA	NA	"XM_022583090.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027119169.1"	"XM_007452537.1"	NA	NA	NA	"XM_029213509.1"	"XM_024735722.1"	NA	"XM_004280107.2"	NA	NA	"XM_028485234.1"	NA	NA	NA	NA	NA	NA	"XM_019941406.1"	NA
"EOG090202CX"	NA	"XM_007165609.1"	NA	NA	NA	NA	NA	"XM_022599532.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027087593.1"	"XM_007447557.1"	NA	NA	NA	"XM_029235504.1"	"XM_024767010.1"	NA	"XM_004280156.1"	NA	NA	"XM_007110239.2"	NA	NA	NA	NA	NA	NA	"XM_004316074.2"	NA
"EOG090202CZ"	NA	"XM_007194597.1"	NA	NA	NA	NA	NA	"XM_022578611.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"XM_027104699.1"	"XM_007471766.1"	NA	NA	NA	"XM_029201978.1"	"XM_024762734.1"	NA	"XM_004269162.2"	NA	NA	"XM_028488582.1"	NA	NA	NA	NA	NA	NA	"XM_019918586.1"	NA
